
 Mean for ROI 14, contrast 12 is 1.102259, st dev is  1.046434
 Mean for ROI 14, contrast 13 is 1.345386, st dev is  1.175242
 Mean for ROI 14, contrast 14 is 0.089506, st dev is  0.774460
 Mean for ROI 14, contrast 15 is -0.812909, st dev is  0.767172
 Mean for ROI 14, contrast 16 is 2.251248, st dev is  1.222871
 Mean for ROI 14, contrast 17 is 2.493967, st dev is  1.290809
 Mean for ROI 14, contrast 18 is 0.727346, st dev is  0.869244
 Mean for ROI 14, contrast 19 is 0.832654, st dev is  0.886179
 Mean for ROI 15, contrast 0 is 3.132559, st dev is  2.691759
 Mean for ROI 15, contrast 1 is 3.304978, st dev is  2.668822
 Mean for ROI 15, contrast 2 is 3.768611, st dev is  2.233883
 Mean for ROI 15, contrast 3 is 1.464925, st dev is  2.312175
 Mean for ROI 15, contrast 4 is 2.188096, st dev is  2.657553
 Mean for ROI 15, contrast 5 is 2.923821, st dev is  2.451944
 Mean for ROI 15, contrast 6 is 2.064577, st dev is  1.832161
 Mean for ROI 15, contrast 7 is 2.388146, st dev is  1.825414
 Mean for ROI 15, contrast 8 is 1.118133, st dev is  1.106158
 Mean for ROI 15, contrast 9 is 0.074462, st dev is  1.202163
 Mean for ROI 15, contrast 10 is -0.281358, st dev is  1.111702
 Mean for ROI 15, contrast 11 is -0.094689, st dev is  1.172439
 Mean for ROI 15, contrast 12 is 0.145992, st dev is  1.212904
 Mean for ROI 15, contrast 13 is -0.354359, st dev is  1.219250
 Mean for ROI 15, contrast 14 is -1.086493, st dev is  0.994163
 Mean for ROI 15, contrast 15 is -0.894156, st dev is  0.928075
 Mean for ROI 15, contrast 16 is 4.595784, st dev is  2.349588
 Mean for ROI 15, contrast 17 is 4.739814, st dev is  2.351479
 Mean for ROI 15, contrast 18 is 3.073976, st dev is  1.630933
 Mean for ROI 15, contrast 19 is 2.257775, st dev is  1.437532
 Mean for ROI 16, contrast 0 is -0.080187, st dev is  1.747453
 Mean for ROI 16, contrast 1 is 0.163074, st dev is  1.441302
 Mean for ROI 16, contrast 2 is 0.357701, st dev is  1.405302
 Mean for ROI 16, contrast 3 is -0.031076, st dev is  1.347585
